way out in boston best western terrace inn 1650 commonwealth avenue boston ma usastayed sep 2008 one night double room location actually on mount hood road off commonwealth avenue between washington street and sutherland street boston mbta green line b tram stops the tram journey is roughly 4050 mins from park street and government centre downtown stations so the hotel is not very handy for doing things in the centre of the city there are few facilities near the hotel  the hotel staff said one thai one italian restaurant a 711 shop and a pharmacycumus mail officewe found them very near  the hotel is more of a motel with three separate blocks reception and two separate bedroom blocks which have no covered ways between them so if it is raining there are steps to reception but there is access by ramp via dining area for wheelchairs bedroom block 1xx  ground 2xx has no lift to upper floor did not assess block with rooms 3xx5xx being just off commonwealth avenue saves it from traffic noise so it is quieter than one may anticipate the room we had was plain but very spacious and cleano criticism of that the welcome was pleasant and helpful but the ontinental breakfastwas at the poorer end of the scale cereals yoghourt fresh fruit bread and rolls  bagels but no meats or cheeses the fruit juices were really diluted fruit rinksrather than fresh or 100 reconstituted the rockeryis of the plasticised paper variety plus plastic lassesand polystyrenefoam tea coffee containers  ups similarly the cutlery is plastic with no large spoon the hotel was willing to extend checkout time by one hour  to noon and to safekeep luggage after checkout until later in the day is this the boston location or quality you want for 171  192 incl taxes ,negative,2,2,2,4
wow we found this hotel on priceline and we were looking for a fenway weekend the hotel was obvious because it really is in the back of a gas station parking lot checkin at the front desk was super easy and the front desk clerk was so friendly helpful and polite checkin literally took less than 30 seconds including when he asked if we wanted 1st or 2nd floor the rooms are set up like they might be in warmer climates  instead of everything in one building there were several groups of 2story buildings with maybe 10 or so rooms in each group there s parking on site  and it s free  a total luxury in boston and the whole time i felt safe even parking my new car out there the room was nothing special  not huge or anything but it was absolutely spotless fridge microwave desk wireless internet all right there even the bathroom didn t have one speck of mold or dirt it s even environmentally friendly with those signs you can leave out if you can handle using the towels and sheets more than once we got directions to both walk to fenway  it s about 1 5 miles or take the train  t is about a 4 minute walk and how to get back after a night of baseball and drinking  i would definitely stay at this hotel again and recommend it to anyone who asked it s in a quiet neighborhood only a short distance to the t and the price wasn t bad at all for boston area a  ,positive,3,0,5,5
comfy and clean stayed with wife and 2 teenage kids for 5 nights paid about 175 night half a block from the washington st t stop green line free parking wireless pretty good breakfast very good service fritz ran the front desk and he was great rooms aren t very big but very clean location is very good and you can save a few bucks by using the t no pool they don t change towels or sheets unless you ask knowledgable staff and helpful recommended especially given the prices in boston it s no great bargin but affordable some very good places to eat close by ,positive,4,0,4,4
awful we found this hotel through a college website it was listed as a hotel in the vicinity of boston college and close to downtown boston we were planning a trip to see the some of the colleges in boston and didn t want to spend a fortune   so we booked it big mistake i knew we were in trouble when we saw it was practically in the parking lot of a gas station   it s just behind the gulf station the check in was fine people were friendly and helpful but when i saw the room i nearly cried it looked dirty the room was dingy and old   really fairly run down the bathroom had a frosted window   no curtain   that looked out on the parking lot if you opened the bathroom window   anyone outside had a full view in we all felt so uncomfortable that we cut our stay down from 2 nights to 1 we just couldn t sleep there it s location is closest to boston college but it was a bit of a trip to boston u and northeastern u what the best western considers a shuttle service is actually the boston subway system this hotel is located on the very outskirts of boston it is in a rather seedy area and we really didn t feel safe waiting for the subway or walking back to the hotel at night it took about 35  45 minutes by subway to get into downtown boston it was not a pleasant ride we loved boston itself  it is a great place to visit my advice is to spend a bit more for a clean bed bathroom and get closer to downtown ,negative,1,0,1,1
careful its cheap but shabby nice staff but the place is well past its best when we checked in our initial impression of the room was not good the a c was not really working and the fridge in the kitchenette would not close properly the room was clean but needs updating my wife could not sleep as we were in a double room and it was too hot with non functioning a c the positives nice areahelpful staffnegativespoor parking not enough rooms are shabbywill not be going back ,negative,2,0,2,3
good value in boston we stayed here for one night it is easy to get to the heart of boston on the subway the rooms are spacious and the free breakfast is good we got there early and they let us check in early the area seems safe we would stay there again for sure we covered the stay using over airmiles which was an extra score ,positive,4,4,4,4
awful we booked this hotel because the boston college website listed it as a local place to stay we planned on staying two nights and we had booked two rooms at a rate of 169 00 per night when we arrived my husband commented that it looked like the bates motel once inside our room  we were horrified the room had been decorated in the 70 s and had never been updated it was extremely shabby and the bedspreads and carpet were stained worst of all was the disgusting smell of smoke and stale air it was so bad that we told the front desk clerk that we didn t want to stay there  the clerk informed us that he may have to charge us anyway we told him fine knowing that we would stop our credit card payment and make a formal complaint against the hotel our trip to the boston area ended up lovely we checked into the doubleday suites and were very happy there the rate at this hotel was actually less expensive because a two room suite was 199 00 and accommodated our family just fine the bottom line is don t stay at the best western inn in boston there are so many other options of great places to stay ,negative,1,0,2,1
ok but some cons i stayed at this hotel for 2 nights in october the hotel was very clean seemed to be in a very safe neighborhood and provided an adequate breakfast it was a one block walk from the green line  b branch washington st  however the hotel is rather far from downtown the trolley ride is very very slow and tedious and i found the green b line trains to be the most infrequent as such it usually took us at least 30 minutes to get to downtown in addition on the second night we were kept awake by a loud party from about 2am3am i called the front desk but found them to be extremely unhelpful and completely unconcerned the hotel was the best value that i could find that was still in a decent neighborhood again it was clean and there were no problems with the room itself however due to its inconvenient location and unhelpful staff i will not stay there again ,negative,3,0,2,1
great area not great hotel i ended up getting this hotel through priceline there was a conference in town and i had a hard time finding anything else even through regular reservations overall i was very disappointed to start off my first room had a shower that the wall had been busted out and mold wasv everywhere there was also no kitchen and the hotel lists that every room has a kitchen  it must be saved for priceline customers  i was moved promptly to a room a bit larger with a kitchen and at least it was in tact pros staff was nice unexperienced but nice location was quiet residential and right next to the tcons very dirty the bathroom was infested with house centipedes   i saw a family of them  bathtub did not drain  took about an hour after the shower was finished i asked everyday for it to be fixed but it never was  large groups stay here while the neighborhood is quiet the group can have lots of parties  nonsmoking room smelled of thick smoke i did report my unhappiness to the corporate office and they said i would be contacted by management no one ever contacted me this hotel has potential because of the location but need a complete overhaul ,negative,4,1,1,3
not what we expected we booked this hotel because it was very close to boston university where we were dropping our daughter off for graduate school the area was fine     we were able to walk to a grab a bite to eat in the surrounding area without difficulty the free parking was a definite plus our main gripe was with the room which was very very damp it was a warm night but the whole room and even the bed linens felt very humid and damp also the free breakfast was only marginal too many people scurrying for a table and towards the end of the designated hours they stopped putting out more food so all you could have was what was picked over by others we ll be looking for another place to stay when we go back to visit boston ,negative,4,2,1,1
not the best best western we stayed here with my 14 month old daughter for a week in june of 2006 the room was supposed to be a nonsmoking room but certainly didn t smell that way the area seemed ok  however we did hear what sounded like 8 gunshots at about 3am which didn t exactly make us feel secure the room was basically clean but hadn t been refurbished in what seemed like years and so didn t feel really clean the first portable crib they sent was broken the staff wasn t too bad but not as responsive as i wanted it took them a day to fix the ac heat in our room not the worst i stayed in by any means but definitely not the best it wasn t up to the standard i expect out of best western i probably wouldn t stay here again ,negative,2,0,2,2
great tourist value we booked the best western terrace inn as a 99 per night special from a go boston card i ordered online through their tourism dept i called a few days in advance to reserve it really was only 99 per night it was right on the green line although almost at the outside edge near boston univ west but in 25 min  you were downtown no driving free parking okay rooms free expanded continental breakfast  waffles cereal fruit etc a wonderful spanish restaurant was around the corner friendly staff for the price we were able to stay an extra day the marriot at the embarcadero charges 40 per day just to park ,positive,4,5,5,4
great for a short trip or game this is a nice clean small hotel the rooms were clean and included a mini kitchen ie stove top fridge and mini microwave and sink some dishes and cook wear is susplied the shower is cramped but clean the beds say queen but seem like a double and you kind of roll to the middle but on the day of our check out all new beds were being installed so that might help all the staff were excellant very helpful we arrived and were checked in instantly good safe free parking and close to the t maybe a block walk but your in boston so you exspect to walk we went for a game and it was clean quick and close one note our room was on the ground floor level and i m a light sleeper i could hear the upstairs room walking around all night    130am 330 am the next morning i proptly asked if the hotel was booked soild and if i could be switched  not a problem at all   they could of said no but i feel like the gentleman went out of his way to rebook me the staff makes this hotel a perk i will deffiantly return for a game visit ,positive,4,0,0,4
pleasantly surprised i was pleasantly surprised at the great service location and price of this hotel with downtown boston hotel prices being near 300 per night this hotel offers a refreshing discount the hotel is next to the subway and the continental breakfast was just right why pay the high prices of downtown when this hotel is literally minutes away from it all ,positive,4,4,4,4
never again don t even think about it don t go there don t stay there avoid it like the plaguebest western should be ashamed ,negative,0,0,0,0
2 rooms out of 3    not bad the terrace inn is very convenient is well maintained has a reasonable breakfast and is reasonably priced for boston i would have liked to rate this hotel 5 stars but an annoying thing happened when i stayed there recently i made reservations for 3 rooms at this hotel 5 months prior to the date because it was boston university graduation weekend  my wife and i and 2 other relatives were coming up  i called several times over the 5 months to make sure we stil had our 3 rooms each time we were reasured the reservation was there for 3 rooms we got a letter from them stating since it was a busy weekend our deposit was non refundable if we canceled within a few weeks of the date not nice but we accepted that since we were coming for sure we arrived on the day came in at 130 pm they told us they had our 3 rooms reserved but they were not ready yet no problem we would leave our luggage there see the sights of wonderful boston and return after dinner just to be safe i called at 330 pm to see if we needed to do anything else for our 3 room reservation no they said everything was taken care of we had our 3 rooms we returned at 930 pm to be told we had  2 rooms not 3 we overbooked and since you had 3 rooms we thought you could get by with 2 they said nicely  i have no complaints about the weekend night manager he was stuck with the situation he didnt create  all of boston was booked it was late they gave us 20 off each room and gave us two rooms a suite with two rooms the relatives had to share and a room with two single beds for me and my wife the next morning i requested and got an additional room upon checking out i asked the manager how this happened and he said we don t do this on purpose it just sometimes happens that was it you other travellers can tell me if this happens frequently to you  has never happened to me in 49 years i emailed the best western office they said i would hear within a week  haven t heard anything in 1 1 2 weeks from the terrace inn we got by ok for one night it wasn t that big of a deal but my questions are if you can take all my money if i don t show up why can t you make sure everyone who puts that money up has a room have you looked into this mistake to see how often it happens wouldn t it be nice to respond to questions referred from the main officeso i suggest they study the overbook policy or drop that no refund policy on busy weekends if you make reservations you might want to have a cancelable reservation somewhere else just in case ,negative,3,3,3,2
totally gross and cheesy let me first admit that i m giving this an ok rating due to the fact that my wifi worked and had a great connection now when i walked into my room it just looked awful super cheap comforter awful appliances really dusty and gross closets and that unsure feeling of should i really walk on the carpet and to make sure i wasn t thinking this myself my coworker who i traveled with had all of this plus a horrid smelling room ok so it is clsoe to the t train but it is very hard to find while driving and it isn t really worth finding all in all this hotel is fine of the rooms are going for 39 99 a night but for 125 you could at least get the musly smell out of the room   first time here and the last time for sure ,negative,0,0,2,1
notsogreat stay we stayed at the terrace inn in the summer of 04 the hotel is in an awkward location and difficult to get to by car if you are not familiar with the streets when we asked for new sheets  ours were stained we had to walk out to the lobby to retrieve it ourselves when we had questions about internet access the person working at the front desk was completely clueless and could not help us  it turns out they only had dialup even though the lamp in the room had a dataport we found spiderwebs in the corner of the rooms as well one morning we had our privacy please sign up on our door yet the cleaning lady knocked on the door and said that there were people here to replace our curtains this was very unexpected and rude especially since there was a reason for placing that sign on the door complimentary breakfast is served but guests should arrive early or take the food to their rooms the breakfast room is too small to accomodate everyone ,negative,2,1,0,1
great area in boston we had to take our son to boston children s hospital and this hotel is extremely close by the amenities of this hotel are great and accomodating especially after a long day in the hospital the bar area was great the food court attached had everything for somebodies taste and the hotel was close to the train fenway park and tons of other neat attractions at one point during our visit the hotel had to shut down the water not their fault however an inconvenience and our a c did not work the greatest however the rooms were clean and comfortable ,positive,5,0,0,3
